logement,surface_m2,chauffage,ampoules,lave_linge,lave_vaisselle,four,climatisation,nb_personnes,transport_mode,transport_km_semaine,estimation_kgCO2_an
appartement,46,electrique,6,1,1,0,1,2,marche,0,587.5
maison,109,pompe à chaleur,20,0,1,0,0,6,marche,0,218.33333333333334
appartement,98,gaz,5,0,1,0,1,6,voiture,100,1069.0
appartement,58,pompe à chaleur,18,0,1,0,1,2,voiture,89,1020.36
appartement,127,pompe à chaleur,6,0,1,0,0,3,marche,0,450.0
maison,87,electrique,15,0,0,0,0,6,marche,0,315.0
maison,63,pompe à chaleur,9,0,1,0,1,3,velo,111,325.5266666666667
maison,64,electrique,10,1,0,1,0,4,voiture,192,1556.83
appartement,116,pompe à chaleur,17,1,1,0,1,5,voiture,44,579.56
appartement,52,gaz,24,1,0,0,0,1,velo,24,1571.24
maison,111,gaz,15,0,0,1,1,6,voiture,99,1135.26
appartement,111,electrique,5,1,1,1,0,4,marche,0,586.25
appartement,55,gaz,7,0,1,0,0,3,velo,98,513.8133333333333
appartement,100,gaz,13,0,1,0,1,4,voiture,80,1199.2
maison,71,gaz,5,0,1,1,1,4,velo,157,547.07
maison,32,pompe à chaleur,15,1,1,1,0,6,voiture,79,583.7933333333333
maison,60,electrique,9,0,1,1,0,5,velo,99,293.74
appartement,130,gaz,24,1,0,0,1,3,marche,0,1221.6666666666667
appartement,135,electrique,8,0,0,1,1,5,velo,152,631.52
maison,107,pompe à chaleur,11,1,0,1,1,1,velo,69,1402.94
maison,83,pompe à chaleur,10,0,0,1,1,6,velo,129,218.54
appartement,88,pompe à chaleur,20,1,1,1,1,6,voiture,14,304.86
maison,132,pompe à chaleur,8,1,0,1,1,4,voiture,138,1262.37
appartement,91,electrique,18,0,1,1,1,6,velo,126,399.4266666666667
appartement,150,pompe à chaleur,17,1,1,1,1,6,velo,158,356.9133333333333
appartement,77,electrique,22,0,0,0,1,4,velo,49,490.24
appartement,40,pompe à chaleur,6,1,0,1,1,2,voiture,100,956.5
appartement,87,electrique,23,1,0,1,0,4,marche,0,506.25
appartement,126,pompe à chaleur,18,0,0,1,1,1,marche,0,1620.0
appartement,73,pompe à chaleur,25,0,0,0,1,3,marche,0,376.6666666666667
appartement,81,pompe à chaleur,6,1,1,1,0,5,voiture,183,1330.92
maison,99,electrique,7,0,1,1,0,2,voiture,36,1274.6399999999999
maison,118,electrique,19,1,0,1,1,4,marche,0,688.75
maison,134,electrique,9,0,0,0,0,4,marche,0,692.5
maison,39,gaz,12,0,0,0,0,4,marche,0,273.75
appartement,104,gaz,9,1,0,0,1,1,velo,11,2867.86
maison,106,electrique,23,0,1,0,0,5,voiture,97,1079.28
appartement,63,gaz,13,1,1,1,0,3,marche,0,593.3333333333334
maison,61,electrique,23,1,1,0,0,1,voiture,181,2624.44
maison,81,electrique,9,1,1,0,1,5,marche,0,381.0
appartement,90,gaz,20,1,1,0,0,5,voiture,22,636.28
appartement,108,gaz,22,0,0,0,0,2,velo,103,1486.78
appartement,123,pompe à chaleur,20,1,0,1,0,3,voiture,52,819.48
maison,72,pompe à chaleur,7,1,1,1,1,1,voiture,172,2088.2799999999997
maison,137,pompe à chaleur,14,0,0,0,1,4,marche,0,415.0
appartement,86,electrique,25,1,0,1,0,2,voiture,12,1087.38
appartement,99,electrique,19,0,0,0,0,4,velo,97,567.72
appartement,44,pompe à chaleur,11,1,0,1,1,3,voiture,150,1187.6666666666667
appartement,120,electrique,5,0,1,0,0,2,velo,88,1257.88
appartement,64,electrique,12,1,0,0,1,1,voiture,175,2667.0
maison,70,pompe à chaleur,11,0,1,1,0,4,voiture,160,1213.4
maison,77,electrique,16,1,0,0,0,6,marche,0,287.5
appartement,69,gaz,25,0,0,1,1,3,voiture,191,1910.1733333333332
appartement,106,pompe à chaleur,22,1,0,0,1,3,voiture,29,665.96
appartement,136,gaz,21,1,0,1,1,5,velo,178,809.28
maison,141,electrique,5,1,1,1,1,3,voiture,157,2011.3466666666668
appartement,82,pompe à chaleur,10,0,1,1,0,4,marche,0,242.5
appartement,42,pompe à chaleur,15,0,1,0,0,3,marche,0,196.66666666666666
maison,141,pompe à chaleur,16,0,1,1,1,3,marche,0,590.0
maison,49,gaz,22,1,1,1,0,6,velo,49,266.0733333333333
maison,89,pompe à chaleur,5,1,1,1,1,4,velo,182,338.57
appartement,108,pompe à chaleur,19,0,1,0,0,2,velo,95,669.7
appartement,38,electrique,15,1,0,1,0,1,marche,0,965.0
maison,84,pompe à chaleur,8,0,1,1,1,5,voiture,55,567.2
appartement,129,gaz,25,0,0,1,0,3,velo,18,1173.0133333333333
maison,106,electrique,10,0,1,0,0,5,voiture,121,1203.04
appartement,104,pompe à chaleur,11,1,1,0,1,3,marche,0,448.3333333333333
appartement,77,gaz,5,1,0,1,0,6,velo,170,382.5333333333333
appartement,61,pompe à chaleur,17,0,1,1,0,4,voiture,89,762.86
appartement,71,gaz,10,0,0,0,0,2,velo,47,949.72
appartement,35,gaz,15,1,1,1,1,3,voiture,139,1284.0266666666666
maison,60,electrique,14,1,0,0,0,6,velo,161,269.36
maison,79,gaz,7,1,0,0,1,1,velo,119,2250.94
maison,121,pompe à chaleur,15,0,0,1,1,6,marche,0,256.6666666666667
appartement,134,gaz,16,1,0,1,1,1,velo,170,3759.2
maison,96,pompe à chaleur,21,0,1,0,1,2,voiture,124,1443.76
appartement,121,gaz,7,0,0,0,1,5,voiture,148,1572.52
appartement,38,pompe à chaleur,21,0,0,1,0,3,voiture,62,593.5466666666666
appartement,112,gaz,16,0,0,1,0,4,voiture,91,1315.3400000000001
maison,109,gaz,25,0,0,1,1,2,voiture,164,2600.86
maison,144,pompe à chaleur,23,1,1,1,1,3,marche,0,631.6666666666666
appartement,110,gaz,18,1,1,1,1,3,voiture,53,1382.3866666666668
maison,84,electrique,10,0,0,0,1,6,voiture,176,1419.9066666666668
maison,131,electrique,12,0,0,0,1,3,marche,0,963.3333333333334
appartement,112,pompe à chaleur,16,0,1,1,0,3,velo,71,461.7933333333333
maison,45,electrique,17,0,1,1,0,3,velo,29,380.87333333333333
maison,76,electrique,18,1,0,1,1,5,voiture,21,512.04
maison,58,pompe à chaleur,8,0,1,0,1,5,marche,0,166.0
maison,120,electrique,11,1,1,0,0,1,marche,0,2555.0
appartement,97,pompe à chaleur,24,1,1,0,1,4,voiture,66,763.0899999999999
maison,89,gaz,11,0,0,1,1,3,marche,0,838.3333333333334
maison,84,gaz,7,0,0,1,1,3,marche,0,783.3333333333334
appartement,88,pompe à chaleur,11,0,0,0,0,6,voiture,50,477.0
maison,94,electrique,14,0,0,1,0,1,voiture,178,3160.7200000000003
appartement,134,electrique,21,1,0,1,0,2,voiture,149,2402.26
appartement,139,electrique,8,0,0,1,0,6,voiture,145,1386.4666666666667
maison,130,electrique,20,0,0,0,1,4,velo,73,756.48
appartement,40,pompe à chaleur,15,0,0,1,1,2,voiture,179,1481.96
appartement,61,gaz,11,1,1,1,1,4,marche,0,465.0
appartement,140,pompe à chaleur,14,1,0,0,1,6,velo,130,319.6333333333333
appartement,89,gaz,5,1,0,0,0,3,velo,171,811.1266666666667
appartement,73,gaz,21,1,1,0,0,2,voiture,135,1882.4
appartement,70,electrique,21,0,0,0,1,3,velo,195,637.3666666666667
maison,72,gaz,20,1,1,0,0,1,marche,0,2045.0
maison,119,electrique,14,1,0,0,0,4,velo,13,639.63
maison,70,gaz,17,1,0,0,1,3,marche,0,698.3333333333334
maison,143,gaz,14,0,0,1,0,3,velo,75,1267.8333333333333
appartement,72,electrique,11,0,1,1,1,2,voiture,51,1193.24
maison,50,pompe à chaleur,16,1,0,1,1,2,marche,0,432.5
appartement,130,pompe à chaleur,25,0,1,1,1,2,marche,0,875.0
appartement,56,electrique,13,0,0,1,1,3,voiture,193,1680.9866666666667
maison,56,pompe à chaleur,16,0,1,1,0,1,marche,0,770.0
appartement,59,gaz,11,0,1,1,0,3,marche,0,545.0
maison,123,gaz,12,1,1,1,1,6,marche,0,570.0
maison,93,pompe à chaleur,18,0,1,1,0,3,velo,97,411.88666666666666
maison,46,gaz,8,1,1,1,1,4,velo,116,393.91
appartement,105,electrique,7,0,0,0,0,5,marche,0,434.0
appartement,105,pompe à chaleur,7,1,1,1,0,4,marche,0,298.75
appartement,49,electrique,5,0,0,0,0,4,voiture,26,419.74
maison,136,electrique,22,1,0,0,1,4,marche,0,778.75
appartement,99,gaz,5,0,1,1,0,5,voiture,164,1538.3600000000001
maison,146,gaz,14,1,1,0,1,3,marche,0,1328.3333333333333
maison,62,gaz,13,0,0,1,0,1,voiture,13,1791.12
appartement,120,pompe à chaleur,7,1,0,1,0,6,velo,17,225.25333333333333
maison,104,gaz,22,0,1,0,0,6,voiture,12,548.2133333333334
appartement,64,gaz,10,0,0,1,0,5,voiture,109,1026.1599999999999
maison,90,pompe à chaleur,23,1,1,0,1,1,marche,0,1325.0
maison,30,gaz,10,0,1,0,1,6,marche,0,170.0
appartement,49,gaz,17,0,0,0,1,2,voiture,103,1415.22
appartement,48,gaz,15,1,0,1,1,3,velo,135,553.4333333333334
maison,139,electrique,9,1,0,0,0,2,marche,0,1447.5
maison,124,pompe à chaleur,6,1,1,1,1,3,marche,0,508.3333333333333
appartement,150,electrique,8,1,1,0,1,1,marche,0,3275.0
maison,85,electrique,15,0,1,0,0,1,voiture,173,2949.52
appartement,135,pompe à chaleur,9,0,1,0,0,5,voiture,70,728.8
maison,113,pompe à chaleur,9,0,0,1,1,4,marche,0,350.0
appartement,39,gaz,8,0,0,0,1,1,velo,144,1242.44
appartement,114,pompe à chaleur,8,0,1,0,1,3,marche,0,463.3333333333333
appartement,42,electrique,22,1,0,0,0,6,velo,87,203.45333333333335
appartement,100,electrique,10,0,1,0,0,3,marche,0,706.6666666666666
maison,69,gaz,11,1,0,1,1,1,voiture,168,3088.3199999999997
appartement,38,electrique,21,1,0,1,1,1,velo,163,1217.38
appartement,64,pompe à chaleur,13,0,1,1,0,1,marche,0,820.0
maison,108,electrique,8,1,0,1,0,1,marche,0,2295.0
appartement,140,gaz,18,1,0,0,1,5,marche,0,771.0
appartement,109,electrique,17,0,1,0,0,2,velo,135,1220.1
maison,67,pompe à chaleur,10,1,0,0,0,2,voiture,35,615.9
maison,124,electrique,23,1,0,0,0,6,marche,0,455.8333333333333
appartement,131,gaz,19,0,0,0,0,5,velo,170,737.2
maison,129,electrique,19,0,1,1,1,4,voiture,200,1990.5
appartement,54,pompe à chaleur,11,1,1,0,0,2,velo,190,396.9
appartement,124,gaz,6,1,0,0,1,2,voiture,190,2853.1
maison,144,gaz,25,1,0,1,0,2,voiture,162,2963.38
maison,135,gaz,5,1,1,1,1,2,marche,0,1825.0
appartement,32,electrique,10,0,1,1,0,5,voiture,35,376.4
maison,76,electrique,16,1,0,0,1,4,marche,0,463.75
appartement,99,electrique,17,1,0,0,0,5,marche,0,435.0
appartement,114,pompe à chaleur,21,1,0,0,1,5,marche,0,305.0
appartement,97,pompe à chaleur,11,1,0,1,0,6,velo,71,207.62666666666667
appartement,149,electrique,16,1,1,0,0,1,velo,60,3200.6
appartement,96,gaz,13,1,1,1,1,5,marche,0,551.0
appartement,57,gaz,13,0,0,0,1,5,voiture,134,1177.1599999999999
appartement,114,gaz,8,0,0,1,0,2,voiture,178,2590.7200000000003
appartement,130,electrique,7,1,1,0,0,3,voiture,32,1104.68
maison,143,electrique,12,0,0,0,0,6,marche,0,496.6666666666667
appartement,35,pompe à chaleur,21,0,1,1,0,2,voiture,180,1428.2
appartement,148,gaz,9,0,0,0,0,1,marche,0,3790.0
appartement,69,gaz,13,1,0,1,0,6,velo,174,363.5733333333333
maison,116,pompe à chaleur,5,1,1,1,1,1,voiture,51,1753.24
maison,126,pompe à chaleur,6,0,1,0,0,4,voiture,74,796.76
maison,76,gaz,11,0,1,1,1,2,velo,200,1157.0
appartement,82,electrique,22,0,0,1,0,1,marche,0,1890.0
maison,57,electrique,21,0,1,1,0,6,marche,0,233.33333333333334
appartement,115,pompe à chaleur,20,1,0,1,1,1,velo,99,1580.74
appartement,47,electrique,10,1,1,0,0,5,marche,0,217.0
maison,81,pompe à chaleur,7,1,1,1,1,4,marche,0,276.25
appartement,116,electrique,15,1,0,1,0,4,marche,0,631.25
maison,86,gaz,14,0,1,0,1,5,voiture,79,984.96
maison,93,electrique,7,1,1,1,0,4,marche,0,501.25
maison,149,gaz,13,0,1,1,0,6,marche,0,650.8333333333334
maison,143,electrique,25,0,1,0,0,3,voiture,200,2291.333333333333
appartement,147,pompe à chaleur,12,0,0,0,1,2,marche,0,870.0
appartement,117,gaz,12,1,1,1,0,1,velo,65,3136.9
maison,81,pompe à chaleur,24,1,0,1,1,6,voiture,76,683.4066666666666
appartement,81,gaz,10,0,0,1,1,3,marche,0,768.3333333333334
maison,73,gaz,11,0,1,0,1,3,velo,49,714.4066666666666
maison,40,pompe à chaleur,21,0,0,1,1,6,voiture,194,1342.2266666666667
appartement,114,pompe à chaleur,12,1,1,0,0,1,marche,0,1305.0
appartement,87,pompe à chaleur,10,1,0,0,1,2,velo,26,579.26
maison,101,gaz,25,1,0,0,0,4,velo,95,724.7
maison,32,electrique,25,0,1,1,0,5,voiture,140,1061.6
appartement,113,electrique,14,0,0,0,0,2,voiture,112,1898.88
maison,146,gaz,12,1,1,1,1,5,voiture,196,2022.04
appartement,43,gaz,21,1,0,1,0,3,voiture,97,1051.9466666666667
appartement,52,gaz,13,1,0,1,1,3,velo,41,555.66
maison,91,gaz,19,0,0,1,1,5,voiture,76,1003.24
maison,131,gaz,20,0,0,0,1,5,voiture,45,1005.8
appartement,42,gaz,9,1,1,0,1,5,velo,131,301.06
appartement,82,electrique,10,0,0,1,0,5,velo,53,367.78
maison,59,electrique,6,1,1,1,1,1,marche,0,1465.0
maison,35,gaz,22,1,1,1,0,1,velo,51,1183.26
appartement,76,gaz,23,0,0,1,0,3,velo,52,733.52
maison,98,gaz,5,1,0,1,0,1,marche,0,2555.0
appartement,55,gaz,7,0,1,0,1,6,voiture,116,993.0066666666667
maison,63,pompe à chaleur,16,1,0,0,1,2,velo,96,507.46
appartement,92,electrique,22,0,1,0,1,2,velo,79,1135.54
maison,136,electrique,23,0,0,1,1,5,marche,0,626.0
maison,70,pompe à chaleur,15,1,1,1,0,6,velo,196,205.12666666666667
appartement,99,pompe à chaleur,22,0,1,1,1,5,voiture,80,781.2
maison,94,electrique,11,1,0,0,0,5,voiture,188,1576.12
appartement,67,gaz,8,1,0,0,0,6,voiture,38,533.7866666666666
maison,106,pompe à chaleur,20,0,0,0,0,1,velo,83,1281.58
maison,73,gaz,7,0,0,0,1,6,velo,84,362.6733333333333
maison,39,gaz,10,1,0,1,0,1,marche,0,1130.0
appartement,93,gaz,9,1,0,0,0,2,marche,0,1220.0
appartement,64,electrique,12,1,0,1,0,4,velo,97,388.97
appartement,82,electrique,25,0,0,0,1,4,voiture,64,909.36
appartement,121,gaz,24,0,1,1,1,2,marche,0,1732.5
maison,61,gaz,22,1,1,0,1,3,marche,0,646.6666666666666
maison,122,pompe à chaleur,24,0,1,0,1,5,marche,0,326.0
appartement,45,gaz,25,1,1,1,1,5,voiture,123,1087.52
maison,64,electrique,13,0,1,1,1,2,voiture,107,1472.6799999999998
maison,101,pompe à chaleur,8,0,1,0,1,5,voiture,46,539.04
maison,33,gaz,23,1,0,0,1,1,velo,94,1254.44
maison,130,pompe à chaleur,6,0,0,0,0,1,velo,179,1406.54
maison,120,pompe à chaleur,19,0,1,1,1,1,marche,0,1590.0
maison,120,pompe à chaleur,6,1,1,0,0,3,voiture,68,859.3199999999999
appartement,92,pompe à chaleur,13,1,1,1,0,2,marche,0,562.5
maison,83,electrique,6,0,0,0,1,2,marche,0,935.0
maison,47,electrique,16,1,1,1,0,5,velo,113,264.38
maison,51,pompe à chaleur,16,0,0,0,0,4,velo,179,214.04
maison,93,electrique,5,0,1,1,0,6,marche,0,326.6666666666667
appartement,121,gaz,17,0,1,0,0,5,voiture,72,1092.28
appartement,70,electrique,21,0,1,1,0,6,voiture,132,1100.3466666666666
appartement,117,electrique,19,1,1,1,0,3,voiture,112,1567.2133333333334
maison,122,electrique,9,1,1,1,0,1,marche,0,2605.0
maison,106,electrique,20,1,1,0,0,3,velo,182,835.6533333333334
maison,105,gaz,8,0,1,1,0,3,velo,192,968.2533333333333
maison,145,electrique,10,1,0,1,1,5,velo,191,690.66
appartement,115,pompe à chaleur,16,0,1,0,1,5,voiture,103,938.72
appartement,39,pompe à chaleur,19,0,1,0,1,2,velo,68,392.68
appartement,64,electrique,11,0,0,0,0,1,marche,0,1390.0
appartement,121,gaz,17,1,0,1,0,4,marche,0,812.5
maison,130,electrique,25,1,0,1,1,1,velo,179,3101.54
maison,47,pompe à chaleur,17,1,0,1,0,4,velo,33,182.33
maison,128,electrique,15,0,0,1,0,1,voiture,15,2833.6
maison,111,gaz,21,0,1,1,1,3,voiture,110,1748.0666666666666
maison,30,electrique,6,1,0,0,0,5,voiture,133,966.92
appartement,80,gaz,10,0,0,1,0,4,marche,0,532.5
maison,106,pompe à chaleur,10,1,0,1,0,1,velo,139,1251.14
appartement,103,pompe à chaleur,16,1,0,1,1,1,velo,147,1433.22
maison,142,electrique,18,0,1,1,1,4,voiture,102,1441.48
appartement,134,gaz,13,0,1,0,0,5,voiture,181,1829.44
appartement,46,gaz,12,1,1,1,1,6,velo,185,297.26666666666665
appartement,135,gaz,8,1,0,1,0,1,voiture,112,4208.88
maison,113,electrique,8,1,1,0,1,5,marche,0,507.0
appartement,88,gaz,8,1,0,1,1,1,velo,70,2503.2
maison,116,electrique,21,0,0,0,1,1,marche,0,2680.0
maison,96,gaz,24,1,0,0,0,2,velo,166,1375.66
maison,125,electrique,20,0,0,1,0,2,voiture,60,1739.4
maison,70,pompe à chaleur,5,1,0,0,0,6,marche,0,129.16666666666666
maison,149,pompe à chaleur,20,0,0,0,1,3,marche,0,613.3333333333334
maison,62,gaz,24,0,1,1,1,5,velo,172,442.72
appartement,62,electrique,9,0,1,1,0,5,voiture,160,1274.4
appartement,127,electrique,25,0,0,1,1,1,velo,181,3017.06
appartement,122,electrique,14,0,1,0,0,3,velo,19,871.6066666666667
maison,126,electrique,16,1,1,1,1,1,velo,161,2946.86
maison,101,gaz,22,0,1,1,0,3,velo,98,957.1466666666666
appartement,144,pompe à chaleur,24,1,0,0,1,5,voiture,125,1151.0
appartement,130,electrique,17,0,0,1,0,3,velo,64,949.9733333333334
maison,109,gaz,17,0,0,0,1,2,voiture,18,1634.82
appartement,59,pompe à chaleur,12,0,1,1,0,2,marche,0,380.0
appartement,70,gaz,22,0,0,0,0,3,marche,0,656.6666666666666
appartement,68,gaz,13,0,0,1,1,3,marche,0,670.0
maison,74,electrique,18,0,1,1,1,3,velo,56,634.56
appartement,57,pompe à chaleur,9,0,1,1,0,1,velo,67,727.42
maison,146,pompe à chaleur,24,1,1,0,0,4,voiture,117,1166.33
appartement,45,pompe à chaleur,24,0,1,0,0,3,voiture,85,767.0666666666666
appartement,137,gaz,5,1,1,1,1,6,velo,15,620.5666666666666
maison,139,electrique,23,1,0,1,0,2,marche,0,1532.5
maison,84,electrique,16,0,0,1,1,5,marche,0,404.0
maison,53,pompe à chaleur,8,0,1,1,0,1,marche,0,660.0
appartement,133,gaz,19,0,0,0,1,1,voiture,88,4214.12
appartement,137,gaz,15,1,1,1,1,5,voiture,107,1427.6799999999998
appartement,67,gaz,23,1,0,0,1,4,marche,0,520.0
appartement,72,pompe à chaleur,23,0,1,0,1,2,velo,177,606.02
maison,116,electrique,18,1,0,0,0,4,voiture,104,1280.21
appartement,102,pompe à chaleur,13,1,0,1,1,4,velo,79,359.29
maison,71,gaz,24,0,1,0,1,3,velo,36,737.6933333333334
appartement,130,electrique,12,0,0,0,1,3,velo,165,999.5666666666666
maison,105,pompe à chaleur,17,1,1,0,0,4,voiture,58,678.1700000000001
maison,112,pompe à chaleur,23,0,0,0,0,6,marche,0,225.0
maison,108,gaz,22,0,0,0,1,1,marche,0,3070.0
appartement,128,pompe à chaleur,22,0,1,0,0,2,marche,0,760.0
maison,78,electrique,11,0,0,0,1,3,marche,0,606.6666666666666
appartement,103,gaz,24,0,1,1,0,1,velo,179,2911.54
appartement,150,gaz,17,1,0,0,1,2,marche,0,2047.5
maison,125,gaz,23,1,1,1,0,6,marche,0,571.6666666666666
appartement,51,electrique,7,1,1,1,0,6,voiture,145,1098.9666666666667
appartement,63,electrique,17,0,0,1,1,5,marche,0,322.0
maison,48,electrique,5,1,0,0,0,6,voiture,163,1189.62
appartement,90,electrique,21,0,1,1,0,1,velo,73,2078.98
maison,94,gaz,8,1,1,0,0,6,marche,0,412.5
maison,42,electrique,23,0,0,1,1,5,voiture,129,1054.96
appartement,144,electrique,8,1,1,0,0,3,velo,185,1049.7666666666667
appartement,97,pompe à chaleur,14,1,1,1,0,6,velo,197,248.72
maison,136,pompe à chaleur,12,0,0,0,0,2,voiture,72,1189.28
appartement,41,gaz,6,1,0,1,0,6,marche,0,190.0
maison,135,pompe à chaleur,20,0,1,0,1,4,voiture,106,1091.44
maison,130,gaz,5,1,0,1,0,5,velo,186,719.36
appartement,144,gaz,6,1,1,0,1,1,voiture,100,4479.0
maison,98,gaz,24,1,1,1,0,5,marche,0,553.0
appartement,31,gaz,23,1,0,1,1,1,velo,193,1260.18
appartement,93,gaz,16,0,0,0,0,3,voiture,119,1570.8933333333334
maison,53,gaz,10,0,0,0,0,4,velo,153,396.03
maison,129,electrique,19,1,0,0,0,4,voiture,186,1859.39
appartement,115,gaz,19,0,1,1,1,4,voiture,126,1602.49
maison,64,pompe à chaleur,9,1,1,1,1,3,marche,0,318.3333333333333
appartement,118,pompe à chaleur,19,1,0,0,0,5,velo,103,305.78
maison,77,gaz,20,0,1,0,1,1,velo,134,2329.84
appartement,62,gaz,10,0,1,0,1,2,marche,0,910.0
appartement,64,gaz,14,0,0,0,1,4,marche,0,472.5
maison,81,electrique,24,1,0,1,0,2,velo,184,1005.34
maison,149,electrique,18,0,0,0,1,4,velo,81,848.56
maison,133,gaz,22,1,0,1,0,2,velo,165,1842.9
maison,71,electrique,20,1,0,1,1,6,velo,54,318.2066666666667
appartement,107,electrique,11,1,1,0,0,4,voiture,67,991.8299999999999
appartement,81,gaz,14,1,1,1,1,6,marche,0,398.3333333333333
maison,74,pompe à chaleur,14,0,0,1,1,3,velo,43,364.5133333333333
appartement,38,pompe à chaleur,11,1,0,0,1,4,voiture,142,1052.33
appartement,109,electrique,13,1,0,1,0,3,velo,32,796.6533333333334
appartement,142,pompe à chaleur,16,0,0,0,1,1,velo,112,1759.12
appartement,126,gaz,10,1,1,0,0,4,velo,96,848.71
maison,74,pompe à chaleur,17,1,1,0,0,2,voiture,114,1188.8600000000001
maison,132,gaz,20,1,0,1,0,1,velo,158,3596.08
maison,110,pompe à chaleur,5,1,0,0,1,2,voiture,49,968.26
appartement,58,electrique,23,1,0,1,0,4,marche,0,361.25
maison,144,pompe à chaleur,24,0,1,1,1,1,marche,0,1880.0
appartement,39,pompe à chaleur,10,1,1,1,1,2,voiture,25,513.5
maison,30,electrique,16,0,0,1,1,5,voiture,148,1111.52
appartement,33,gaz,20,0,0,1,1,1,marche,0,1205.0
appartement,112,electrique,24,1,0,0,0,6,velo,142,454.42
maison,114,gaz,25,0,0,1,0,5,voiture,18,738.3199999999999
maison,96,gaz,8,0,1,0,1,3,velo,166,926.4933333333333
maison,48,pompe à chaleur,5,0,0,1,0,4,voiture,130,951.2
appartement,74,gaz,10,1,0,1,0,1,marche,0,2005.0
appartement,88,pompe à chaleur,5,0,1,0,1,3,voiture,138,1227.7866666666666
appartement,68,gaz,21,0,0,1,1,6,velo,93,372.5133333333333
maison,137,gaz,22,1,0,1,1,6,voiture,72,1090.9466666666667
maison,60,electrique,10,1,1,1,1,6,voiture,46,541.2066666666667
appartement,35,electrique,24,1,1,0,0,5,voiture,149,1126.76
appartement,87,electrique,16,0,0,0,0,3,marche,0,633.3333333333334
maison,110,pompe à chaleur,11,0,0,1,0,3,marche,0,413.3333333333333
maison,37,electrique,8,0,1,1,0,3,marche,0,290.0
appartement,98,gaz,16,0,1,1,0,3,voiture,162,1897.5466666666666
appartement,46,pompe à chaleur,7,0,0,1,0,3,marche,0,186.66666666666666
appartement,49,pompe à chaleur,10,0,1,0,0,4,voiture,27,320.98
maison,95,gaz,18,0,0,1,1,1,marche,0,2735.0
appartement,123,electrique,18,0,1,1,0,3,velo,135,931.7666666666667
maison,66,pompe à chaleur,5,0,0,1,1,4,marche,0,222.5
appartement,44,pompe à chaleur,9,0,0,0,0,4,voiture,16,232.34
appartement,31,gaz,21,1,1,1,1,3,marche,0,403.3333333333333
appartement,129,electrique,11,1,1,1,0,3,voiture,100,1545.6666666666665
appartement,134,electrique,24,1,1,1,1,6,voiture,147,1441.4466666666667
maison,141,electrique,20,1,0,1,0,4,marche,0,768.75
maison,119,gaz,16,0,0,0,0,6,marche,0,522.5
appartement,138,electrique,12,0,1,0,0,3,velo,122,998.3866666666667
maison,145,gaz,23,1,0,0,1,6,marche,0,671.6666666666666
maison,99,electrique,25,0,0,1,0,5,velo,168,495.68
maison,147,electrique,25,0,0,0,1,5,velo,187,716.62
appartement,107,electrique,13,0,1,0,1,4,voiture,103,1252.72
appartement,141,pompe à chaleur,12,1,1,0,0,6,velo,149,301.24
appartement,58,gaz,8,0,1,1,1,6,velo,160,329.93333333333334
appartement,76,electrique,5,1,0,1,0,5,velo,182,372.32
appartement,131,pompe à chaleur,18,1,0,1,1,6,voiture,38,519.62
maison,79,pompe à chaleur,24,1,1,1,1,4,velo,147,351.97
maison,150,gaz,6,0,0,1,0,2,marche,0,1920.0
appartement,99,gaz,20,0,0,1,1,3,marche,0,951.6666666666666
appartement,71,gaz,15,1,0,0,0,3,velo,88,672.88
appartement,94,pompe à chaleur,11,1,1,1,1,2,velo,43,648.68
maison,141,electrique,8,1,0,1,1,1,velo,25,3111.5
appartement,115,gaz,14,0,1,1,1,6,voiture,43,804.1533333333334
appartement,43,electrique,24,1,1,1,1,5,voiture,190,1450.6
appartement,146,electrique,7,0,1,0,0,6,velo,28,508.94666666666666
appartement,90,gaz,17,0,1,1,0,4,voiture,170,1678.3
appartement,59,pompe à chaleur,12,1,1,0,1,1,voiture,132,1728.6799999999998
appartement,41,electrique,12,0,0,0,1,1,voiture,99,1707.76
appartement,106,gaz,25,0,1,0,1,6,voiture,61,892.3066666666666
maison,66,gaz,22,0,1,1,1,5,marche,0,414.0
appartement,123,pompe à chaleur,14,0,1,0,0,2,marche,0,695.0
appartement,90,electrique,24,1,1,1,0,5,velo,98,448.48
appartement,66,electrique,8,1,0,0,1,6,velo,79,283.04
maison,34,electrique,9,0,0,1,0,3,marche,0,266.6666666666667
appartement,67,electrique,23,0,0,0,1,5,voiture,186,1504.64
maison,123,pompe à chaleur,25,1,0,0,0,3,voiture,107,1169.3466666666666
appartement,94,gaz,15,0,1,0,0,5,marche,0,504.0
appartement,88,gaz,25,0,1,1,1,5,velo,86,552.36
maison,97,gaz,12,1,1,0,0,4,voiture,72,1096.78
maison,72,electrique,25,0,0,0,0,4,marche,0,422.5
appartement,140,gaz,20,0,1,1,1,4,velo,131,1009.06
maison,132,gaz,5,0,1,1,1,1,marche,0,3550.0
maison,89,pompe à chaleur,15,1,0,1,1,1,voiture,174,2330.76
appartement,53,pompe à chaleur,11,0,0,1,1,6,marche,0,136.66666666666666
maison,125,pompe à chaleur,9,1,0,0,0,2,marche,0,682.5
appartement,82,gaz,6,1,0,1,1,3,voiture,56,1121.1066666666666
maison,108,electrique,20,1,0,0,0,1,velo,37,2394.62
appartement,35,gaz,15,1,0,1,0,1,voiture,94,1666.56
maison,120,electrique,18,0,0,1,1,3,velo,97,945.22
